artist,pub_or_prep,item_t,author,author_s,isbn,imprint,language,size,pages,illustrations,concordance,bibliography,index,exhibition_list,cronology,ind_entr_cont,public_note
"Schönebeck, Eugen",1,"Eugen Schönebeck, 1957-1967.",,"['Kort, Pamel', 'Hollein, Max']",9783777435619,"Munich : Hirmer, 2011.",,30 cm,175,"205 b&amp;w, color",No,Yes,No,No,No,,This is the catalogue of an exhibition held at the Schirn-Kunsthalle Frankfurt. The publication reproduces all of the artist's surviving canvases as well as approximately 40 works on paper.
"Perriand, Charlottte",1,Charlotte Perriand : l'oeuvre complète. 1956-1968.,,"['Barsac, Jacque', 'Bergdoll, Barry (preface)']",9782376660019,"Paris : Archives Charlotte Perriand : Editions Norma, 2017.",French,32 cm,528,"200 halftones, 600 color",No,Yes,Yes,No,Yes,,"This volume traces the designer's activity in creating the Galerie Steph Simon, new editions of furniture: ""Le Corbusier, Jeanneret, Perriand"", editions for Heidi Weber and Cassina, travel agencies designed for Air France, various projects in Geneva and Brazil, and Japanese government commisions in Paris from 1956-1969.  

Apparatus includes notes, a biography and a chronology, a summary bibliography, an index and a table of contents for the complete work."
"Perriand, Charlottte",1,Charlotte Perriand : l'oeuvre complète. 1940-1955.,,"['Barsac, Jacque', 'Thompson, Paul (preface)']",9782915542714,"Paris : Archives Charlotte Perriand : Editions Norma, 2015-",French,32 cm,526,chiefly color,No,Yes,Yes,No,No,,"The second volume covers Perriand's years in Japan (1940-1942) and Indochina (1942-1946), her return to France, designs for Knoll, work on l'Unité de'habitation in Marseilles, further commissions for private and public buildings, collaboration with Jean Prouvé, work with Tange and her influence on Japanese design.  

The texts are followed by apparatus including notes, a bibliography, and indexes."
"Wunsch, Axel",1,"Axel Wunsch, Malerei und Grafik 1956-2006, Katalog mit Werkverzeichnis auf CD-Rom","Wunsch, Axel",,9783937176123,"Neue Sächsische Galerie : Chemnitz , 2006.",German,27 cm,132,125,No,No,No,No,No,Provenance,"A small catalogue brochure was published on the occasion of an exhibition: ""Axel Wunsch, Malerie und Grafik, 1956-2006"" held at the Neue Sächsische Galerie, Chemnitz.   It presented a biography of the artist along with a CD-ROM containing an oeuvre catalogue of the artist's work from 1956 to 2006.


The catalogue raisonné also may be accessed through the gallery's website (See FULL TEXT LINK on this page)."
"Zurbarán, Francisco de",1,Zurbarán 1598-1664.,,"['Gállego, Juliá', 'Gudiol, José']",0847801187,"New York : Rizzoli, 1977.",,30 cm,415,"b&amp;w, some color",No,Yes,Yes,No,Yes,Bibliog.; Comments,"The biography and lengthy introduction is by Julián Gállego; the chronological catalogue is by José Gudiol.  
There have been various printings of this work.  The original Spanish language edition was published by Ediciones Polígrafa, Barcelona; in 1987 a French edition was published in Paris as well as an English language edition by Alpine Fine Arts, London."
"Zurbarán, Francisco de",1,L'opera completa di Zurbarán.,,"['Frati, Tizia', 'Gregori, Mi']",,"Milan : Rizzoli, 1973.",Italian,31 cm,120,"b&amp;w, some color",No,Yes,No,No,No,,"A French language edition was also published: ""Tout l'oeuvre peint de Zurbarán"" (Paris, Flammarion, 1975)."
"Zurbarán, Francisco de",1,"Francisco de Zurbáran, 1598-1664 : catálogo razonado y crítico.",,"['Delenda, Odile', 'Rose de Barbero, Almudena\nRos de Barbero, Almude', 'Dyèvre, Elisabeth', 'Valdivieso, Enrique (prologue)', 'Wildenstein Institute']",9788493726010,"Madrid : Fundación Arte Hispánico, 2009.",Spanish,31 cm + 2 CD-ROMs,,"150 b&amp;w, 350 color",No,Yes,Yes,Yes,Yes,Provenance; Exhib. Hist; Bibliog.; Comments,"The first volume is divided into three parts.  Part 1 deals with 22 sets of paintings executed by Zurbarán and his assistants. The second part contains a catalogue of works by prominent members of the artist's studio, including his son Juan de Zurbarán, Francisco and Miguel Polanco, and Ignacio de Ries. Part 3 contains a catalogue of works by other members of the artist's studio and followers.


Volume 2 includes an Addenda of 7 authentic works by Zurbarán not included in Volume 1.

The full text digitized catalogue is available on the Wildenstein Plattner Institute's website (see Full Text Link on this page)."
"Zandomeneghi, Federico",1,Zandomeneghi.,"Piceni, Enrico",,,"Milan : Bramante, 1967.",,32 cm,420,"b&amp;w, 83 color plates",No,Yes,No,No,No,,"Also see the 1991 revised edition, as well as the 2006 catalogue raisonné on the artist co-authored by Enrico Piceni and others (see entries listed in this database)."
"Zuccaro, Taddeo",1,Taddeo Zuccaro : His Development Studied in His Drawings.,"Gere, J.A.",,0571087566,"London : Faber, 1969.",English,28 cm,239,176 b&amp;w plates,No,Yes,Yes,No,Yes,Provenance; Exhib. Hist; Bibliog.; Comments,"The catalogue features 264 authentic drawings. Individual entries include title, comments, exhibition information, references, and provenance."
"Zandomeneghi, Federico",1,Federico Zandomeneghi.,"Piceni, Enrico",,,"Busto Arsizio : Bramante Editrice, 1991.",,32 cm,364,"800 b&amp;w, 88 color",No,Yes,No,No,No,,"This a second edition of Piceni's 1967 publication,  the catalogue lists 750 works. 

See also the revised third edition ""Federico Zandomeneghi catalogo generale"" (Milan: Scheiwiller, 2006), cited in this database."
"Zuloaga, Ignacio",1,La vida y el arte de Ignacio Zuloaga.,"Lafuente Ferrari, Enrique",,,"San Sebastián : Editora Internacional, 1950.",Spanish,31 cm,309,"159 plates, 6 in color",No,Yes,Yes,No,No,Exhib. Hist; Bibliog.; Comments,"There have been several revised editions issued (1972, 1990) since the 1950 publication (See entries cited in this database)."
"Zuloaga, Ignacio",1,La vida y el arte de Ignacio Zuloaga.,"Lafuente Ferrari, Enrique",,8432066443,"Barcelona : Planeta, 1990.",Spanish,30 cm,593,"b&amp;w, some color",No,Yes,Yes,No,No,Exhib. Hist,"This is the third enlarged and augmented edition of the author's original 1950 publication.  An English edition was also published, see entries in this database."
"Zuñiga, Francisco",2,,"Zúñiga, Ariel",,,,,,,,,,,,,,
"Zuñiga, Francisco",1,"Francisco Zúñiga : catálogo razonado = Catalogue Raisonné. Vol. IV: Dibujos = Drawings, 1971-1989. v.4",,"['Zúñiga, Ariel', 'Zúñniga, Francisco']",9709027115,"Mexico : Albedrío : En asociación con Fundación Zúñiga Laborde, 2006.",,34 cm,364,"b&amp;w, some color",No,Yes,No,No,No,,"Vol. 4 continues the study of the artist's drawings, and also contains errata for vols. 1&amp;2."
"Zuñiga, Francisco",1,Zuñiga : The Complete Graphics 1972-1984.,,"['Brewster, Jerry', 'Chernow, Burt']",0881680079,"New York : Alpine Arts Collection Ltd., 1984.",English,30 cm,245,"101 b&amp;w, some color",No,Yes,No,Yes,No,,
"Zuloaga, Ignacio",1,The Life and Work of Ignacio Zuloaga.,"Lafuente Ferrari, Enrique",,8432066451,"Barcelona : Planeta, 1991.",English,30 cm,593,some color ills.,No,Yes,Yes,No,No,,"This is the English translation of the 3rd, augmented edition of Lafuente Ferrari's ""La vida y el arte de Ignacio Zuloaga"" (1990).  The first edition was published in 1950 (San Sebastián: Editora Internacional)."
"Zuñiga, Francisco",1,"Francisco Zúñiga : catálogo razonado = Catalogue Raisonné. Vol. III: Dibujos = Drawings, 1927-1970.","Zúñinga, Ariel",,9709027107,"Mexico : Albedrío : En asociación con Fundación Zúñiga Laborde, 2006.",,34,842,numerous ills.,No,No,No,No,No,,Volume Three of the four-part catalogue on the artist's work. This volume begins the study of his drawings.
"Zuñiga, Francisco",1,Francisco Zúñiga : catálogo razonado = Catalogue Raisonné. Vol.I. Escultura = Sculpture 1923-1993.,"Zúñiga, Ariel",,9709027026,"Mexico : Albedrío : En  asociación con Fundación Zúñiga Laborde, 1999.",,33 cm,635,"1,106 b&amp;w, some color",No,No,Yes,Yes,Yes,,"Vol. I (Sculpture), first volume in a four part catalogue, covering the entire oeuvre of the artist."
"Zuñiga, Francisco",1,"Francisco Zúñiga : catálogo razonado = Catalogue Raisonné. Vol. II: Pinturas al óleo, estampas y reproducciones =  Oil Paintings, Prints and Reproductions, 1927-1986,",,"['Zúñniga, Ariel', 'Vlady, Andrew']",9709027085,"Mexico : Albedrío : En asociación con Fundación Zúñiga Laborde, 2003.",,24 cm,368,"375 ill., many color",Yes,No,No,No,No,,"Vol. Two (Complete paintings, printed works, and reproductions) of the four-part catalogue, covering  the entire oeuvre of the artist. This volume has  a concordance to the first study of the artist's graphic work published by Jerry Brewster in 1984 , v. ""Zuñiga the Complete Graphics, 1972-1984"", cited in this database."
"Zumthor, Pete",1,Peter Zumthors : Buildings and Projects.,,"['Zumthor, Peter', 'Durisch, Thomas (ed.)']",9783858817235,"Zurich : Scheidegger &amp; Spiess, 2014.",English,24 cm,856 (v. 1- v.5),"142 b&amp;w, 278 color, 341 sketches, drawings &amp; plans",No,Yes,No,No,No,Comments,"The monograph was published in three separate language editions: English, German, French.  

In addition to the catalogue of works, the publication includes texts by Zumthors, a biography of the architecht, and lists of his collaborators from 1985-2013."
"Zandomeneghi, Federico",1,Federico Zandomeneghi : catalogo generale.,,"['Piceni, Enrico', 'Testi, Camill', 'Piceni, Maria Grazi', 'Capitani, Roberto (consultant)']",887644470X,"Milan : Libri Scheiwiller, 2006.",,30 cm,415,"b&amp;w, some color",No,Yes,No,No,No,,"The essay is trilingual in Italian, English and French.
This is considered the third edition, updated and enlarged, of Enrico Piceni's 1967 and 1991 studies of the artist, originally published by Bramante, Milan."
"Schöfelder, Baldu",1,Baldur Schönfelder Catalogue Raisonné.,,"['Schäfer, Siegfried B.', 'Witteveen, Cecilia A.M.']",,https://www.kunst-archive.net/en/,,,,numerous b&amp;w ills.,No,Yes,No,Yes,Yes,Exhib. Hist; Bibliog.,"The online catalogue raisonné includes a collection of texts both by and about the artist (texts are in German).  There is also a bibliography, a list of exhibitions, a chronology

The authors note that the catalogue is based on information provided by the artist, and on ""Baldur Schönfelder, catalogue of works 1960-2010,"" an inventory compiled by the artist in collaboration with Jutta Grathausen in 2012."
"Seewald, Richard",1,"Richard Seewald. das Graphische Werk: Radierungen, Holzschnitte, Lithographien, Plakate, Linolschnitte","Jentsch, Ralph",,,"Esslingen : Verlag Kunstgalerie Esslingen, 1973.",German,31 cm,330,"348 b&amp;w, 1 color",No,No,Yes,No,Yes,,"The author has also published a later monoraph (not seen): ""Richard Seewald: Radierungen, Holzschnitte, Lithographien"", Munich, Verlag Kunstgalerie Esslingen, 1981."
"Wurm, Erwin",1,Erwin Wurm : One Minute Sculptures: Werkverzeichnis = Index of Works = catalogue raisonné 1988-1998.,"Sans, Jérôme",,3893229779,"Bregenz : Kunsthaus Bregenz; Ostfildern-Ruit : Cantz Verlag;  New York : U.S. distributor, D.A.P., 1999.",,31 cm,296,b&amp;w,No,No,Yes,Yes,Yes,,"Catalogue of exhibition held respectively at the Kunsthaus Bregenz; Fonds Régional d'art contemporain de Bourgogne, Dijon; and the CAN Centre d'art Neuchâtel, 1999."
"Perriand, Charlottte",1,Charlotte Perriand : L'oeuvre complète. 1903-1940.,,"['Barsac, Jacque', 'Cohen, Jean- Louis (preface)', 'Rüegg, Arthur (intro.)']",2915542600,"Paris : Archives Charlotte Perriand : Editions Norma, 2015.",French,32 cm,510,chiefly color,No,Yes,Yes,No,No,,"An English/German language edition was also issued under the title ""Charlotte Perriand: Complete Works"", co-published by Scheidegger &amp; Spiess, Zurich, 2014-.  

This first volume surveys the designer's images, objects, work locations, and building programs.
The study begins with her early creative years and goes on to cover sources, environment, apprentice and, militant years, her decade-long association with Le Corbusier, and ends with the departure for Tokyo in 1940."
"Wyckaert, M.",1,"Maurice Wyckaert : l'oeuvre peint, 1947-1996 : tentative de catalogue raisonné.",,"['Berréby, Gérard', 'Orhan, Danielle']",9782844855978,"Paris : Allia, 2012.",,24 cm,576,chiefly color,No,Yes,No,Yes,Yes,,"The critical essay that precedes the catalogue in French is translated into English, German and Dutch at the end of the book. 

There are also two texts in French written by the artist."
"Pergay, Maria",1,"Maria Pergay : Complete Works, 1957-2010.",,"['Demisch, Suzanne', 'Danant, Stephane']",9788862081740,"Bologna : Damiani Editore, 2011.",English,31 cm,275,"300 ills., chiefly color",No,No,No,No,Yes,Comments,"Includes a biographical essay by Adam Lindemann. The catalogue raisonné lists 87 decorative objects and 174 furniture designs, arranged in approximate chronological order."
"Zorn, Ande",1,Le peintre-graveur illustré (XIXe et XXe siècles).,"Delteil, Loys",,,"Paris : Chez l'auteur, 1906-1930.",French,33 cm,,numerous b&amp;w,No,Yes,No,No,No,,"There was a complete reprint of this, the original Paris edition of Delteil's major multi-volume work ""Le peintre graveur illustré…""; the reprint was published by Da Capo Press, New York, 1969; and  had a new final volume, (v. 32) with an appendix and glossary prepared by Herman Wechsler."
"Zoppo, Marco",1,Marco Zoppo,"Ruhmer, Eberhard",,,"Venice : Neri Pozza Editore, 1966.",Italian,30 cm,110,"163 b&amp;w, 8 color",No,No,Yes,No,Yes,Provenance; Bibliog.; Comments,"A monograph with a catalogue raisonné apparatus, illustrating almost all the paintings and drawings. The chronology has been perhaps superceded (v. Lilian Amstrong's dissertation, cited in this database)."
"Zorn, Ande",1,Zorn's Engraved Work : A Descriptive Catalogue.,"Asplund, Karl",,1556600348,"San Francisco : Alan Wofsky, 1990.",English,31 cm,468,288 b&amp;w,No,No,Yes,No,No,Comments,"The original edition was published in Stockholm, 1920.

The catalogue lists 288 engravings.  Entries include dimensions, states, inscriptions, and descriptive comments."
"Zobel, Fernando",2,,"de la Torre, Alfonso",,,,,,,,,,,,,,
"Zorn, Ande",1,Zorn's Engraved Work : Descriptive Catalogue.,,"['Asplund, Karl', 'Zorn, Ander']",,"Stockholm : A.-B. Bukowskis Konsthandel, 1920-21.",English,34 cm,"xxvii, 452",b&amp;w,No,No,No,No,No,,"See also a later revised edition, published by Wofsy,  listed in this database.  

This is the English language edition of the original catalogue published with German text, Stockolm, 1920.  Much of the material for both the German and English language editions was based on Loys Delteil (""Le peintre-graveur illustré"", t. 4, Paris, 1909)."
"Zorn, Ande",1,Engravings : A Complete Catalogue = Etsningar : en komplett katalog / Zorn.,,"['Hjert, Bertil', 'Hjert, Svenolof', 'Brummer, Hans Henrik (pref.)']",9197009105,"Uppsala : Hjert &amp; Hjert, 1980.",,31 cm,191,b&amp;w,No,Yes,Yes,No,No,,
"Zontal, Jorge",1,"General Idea : Multiples : Catalogue Raisonné : Multiples and Prints, 1967-1993.",,"['Simpson, Sandr', 'Simpson Gallery']",9781895182026,"Toronto : Simpson Gallery, 1993.",English,21 cm,320,"163 ills., some color",No,Yes,Yes,No,No,,The catalogue raisonné lists 163 graphic works by General Idea.  The publication includes the author's interview with General Idea.
"Zoppo, Agostino",1,Agostino Zoppo.,,"['Siracusano, Luc', 'Bacchi, Andrea (preface)']",9788899910136,"Trent : Tipografia editrice Temi, 2017.",Italian,29 cm,489,"b&amp;w, some color",No,Yes,Yes,No,No,,"Published in the series: ""Cuius auctor Deus ipse, studi sulla scultura italiana"", l.  The catalogue of the sculptures is divided into categories: bronzes, monuments, statues, heads after the antique, and portraits (including monuments with portraits).  
 

The publication also includes a bibliography and an index of places."
"Zobernig, Heimo",1,"Heimo Zobernig, Books &amp; Posters : Catalogue Raisonné 1980-2015.",,"['Baldon, Diana (ed.)', 'Küng, Moritz (ed.)']",9783863359454,"Cologne : Walther König, 2016.",English,30 cm,431,chiefly color,No,Yes,Yes,No,No,,"The catalogue raisonné was published on the occasion of a 2016 exhibition held at Malmö Konsthall in Malmö, Sweden.  In addition to the catalogue raisonné, the publication includes texts by the artist, and name, institution and place indices."
"Zontal, Jorge",2,,"Bayer, Fern",,,,,,,,,,,,,,
"Zoff, Alfred",1,"Alfred Zoff : ein österreichischer Stimmungsimpressionist : Landschaften, Marinen.","Suppan, Martin",,,"Vienna : Edition M. Suppan, 1991.",,27 cm,349,"662 b&amp;w, 69 color",No,Yes,Yes,No,No,,The essays are bilingual.
"Zlatuschka, Josef",1,Josef Zlatuschka (1879-1954) : ein vergessener Wiener Künstler.,"Tepliczky, Margit",,3903167010,"Vienna : Der Verlag Dr. Snizek e.U., 2017.",German,30 cm,239,chiefly color,No,Yes,No,No,No,,"The catalogue raisonné is compiled by the artist's daughter.  The catalogue lists approximately 1,200 of the artist's surviving works in all media (oil, gouache, tempera, watercolor, drawing, and etching)."
"Zeng, Haiwen",2,,"Koutouzis, Philippe",,,,,,,,,,,,,,
"Zoffany, Johann",1,"John Zoffany, R.A. His Life and Works, 1735-1810.",,"['Manners, Lady Victori', 'Williamson, George Charle']",,"London : John Lane : The Bodley Head ; New York : John Lane Company, 1920.",English,30 cm,"v-xxxii, 331",b&amp;w,No,Yes,Yes,No,Yes,Provenance; Exhib. Hist; Comments,"This is essentially a monograph with a list of engravings after Zoffany's original paintings. The publication includes genealogical tables, a copy of Zoffany's last will and testament, a list of pictures and personal effects from his posthumous sale, and other documents related to his life and works.  

The Appendix includes a register of works by Zoffany organized by collection, with a supplemental list of authentic works.  There are also lists of engravings after Zoffany's paintings and pictures exhibited by Zoffany. There is a separate list of works that were exhibited by Zoffany, but whose whereabouts were unknown to the authors."
"Zontal, Jorge",1,"General Idea : Editions, 1967-1995.","Fischer, Barbara (ed.)",,9780772782069,"Mississauga, Ont. : Blackwood Gallery, University of Toronto at Mississauga, 2003.",English,24 cm,311,approx. 100 b&amp;w; 150 color ills.,No,Yes,Yes,No,No,,"The catalogue raisonné of General Idea's editioned works from 1967-1995 was published in conjunction with an exhibition held at Blackwood Gallery at the University of Toronto Mississauga.   

It includes the author's interview of artist Mike Kelley about the influence of General Idea.  The catalogue includes an annotated checklist of graphic works, as well as a list of the collective's ephemeral works, films and video art.  The publication includes a filmography, a bibliography and an index."
"Zeng, Fanzh",2,,"Chung, KY Gladys",,,,,,,,,,,,,,
"Zoppo, Marco",1,The Paintings and Drawings of Marco Zoppo.,"Armstrong, Lilian",,,"Garland : New York, 1976.",English,,589 + plates,b&amp;w,No,Yes,No,No,No,Provenance; Exhib. Hist; Bibliog.; Comments,"The catalogue includes paintings, drawings, miniatures, lost works, and rejected attributions. In comparison with Eberhard Ruhmer's earlier monograph (cited in this database), the author has revised some of the attributions for the paintings, has been less inclusive for the drawings, and has revised the chronology."
"Zorn, Ande",1,"Anders Zorn Etchings : Catalogue Raisonné ; States &amp; Editions, 1883-1920.","Lidbeck, Sven",,9163189623,"Stockholm : Zorn Gallery, 2007.",,31 cm,343,numerous b&amp;w,No,Yes,Yes,No,No,Exhib. Hist,
"Zenatti, Josette",1,"Josette Zenatti (1930-2008) : catalogue raisonné, la période de 1979 à 2004.","Zenatti, Claude",,9791094845042,"Sucy en Brie : Claude Zenatti, 2015.",French,31 cm,194,chiefly color,No,Yes,Yes,Yes,No,,"The catalogue was compiled by the late artist's husband.  The author states that research into Zenatti's oeuvre is not complete, and the publication may require an addendum in the future.   

The publication covers the paintings, watercolors and pastels, plus drawings, and graphic works.  There is also a section on the artist's signatures."
"Zelotti, Gian Battista",1,Battista Zelotti.,,"['Brugnolo Meloncelli, Kati', 'Puppi, Lionello (preface)']",888521519X,"Milan : Berenice, 1992.",Italian,29 cm,359,"309 b&amp;w, 45 color",No,Yes,Yes,No,No,Provenance; Bibliog.; Comments,"This publication is a comprehensive monograph and re-examination of the artist's oeuvre covering his historical and stylistic career, including his work as a graphic artist."
"Ziem, Félix François Georges Philibe",1,"Félix Ziem, 1821-1911. Supplement.","Miquel, Pierre",,,"Maurs-la-Jolie : E´ditions de la Martinelle, 1996.",French,31 cm,240,"approx. 1,715, some color",No,Yes,Yes,No,No,Provenance; Exhib. Hist,"Supplement includes 1,612 additional oil paintings and watercolors. A second supplement is currently in preparation."
"Zimmer, Bernd",1,Bernd Zimmer : Bilder auf Leinwand : Werkverzeichnis 1976-2010.,,"['Koos, Anuschk', 'Grasskamp, Walter (intro.)']",9783777435114,"Munich : Hirmer, 2011.",German,30 cm + 1 DVD,619,"1,137 color ills., 121 color plates",No,Yes,No,Yes,No,,"The catalogue raisonné presents approximately 2,200 paintings by the artist.  The DVD contains digital images of the artist's works."
"Zimmer, Bernd",1,"Bernd Zimmer : Holzschnitt : Werkverzeichnis, 1985-2000.",,"['Reinhardt, Georg', 'Böttcher, Petr', 'Roussel, Christia']",3879097569,"Cologne : Wienand, 2001.",German,31 cm,215,"4 b&amp;w, 250 color",No,Yes,No,Yes,No,,"This is the catalogue of an exhibition held at the Museum Morsbroich, Leverkusen and several other German venues. The catalogue raisonné lists all 234 woodcuts executed from 1985-2000."
"Ziem, Félix François Georges Philibe",1,"Félix Ziem, 1821-1911, v.1-v.2.","Miquel, Pierre",,,"Maurs-la-Jolie : Editions de la Martinelle, 1978.",French,,v.1: 330; v.2:298,,Yes,Yes,Yes,No,Yes,Provenance; Exhib. Hist,Catalogue includes 1862 oil paintings and watercolors. All works illustrated with b&amp;w thumbnails. Publication includes numerous documents regarding the artist's life and work.
"Ziem, Félix François Georges Philibe",1,"Félix Ziem, 1821-1911.",,"['Burdin-Hellebranth, Anne', 'Blass-Fabiani, Sophie', 'Sartori, Polly J.', 'Hellebranth, Rovert G.']",,"[Paris] : A. Burdin-Hellebranth, 1998.",French,33 cm,944,"2,236, some color",No,Yes,Yes,Yes,Yes,,"The catalogue raisonné lists 2,236 authentic paintings."
"Zimmermann, Dominiku",1,Dominikus Zimmermann : Lichtgestalt im Rokoko.,,"['Tilch, Axel', 'Wessobrunner Kreis e.V. (ed.)']",9783422073708,"Berlin ; Munich : Deutscher Kunstverlag, 2016.",German,29 cm,88,51 color,No,No,No,No,No,,The publication includes photographs by Hans Engels.
"Zick, Januariu",1,"Januarius Zick, 1730-1797 : Gemälde, Graphik, Fresken.","Strasser, Josef",,3874373185,"Weissenhorn : Anton H. Konrad Verlag, 1994.",German,30 cm,591,"330 b&amp;w, some color",No,Yes,Yes,No,No,,The publication was originally presented as the author's doctoral thesis at Ludwig-Maximilians-Universität München.
"Zuccarelli, Francesco",1,Francesco Zuccarelli.,"Spadotto, Federica",,9788890280412,"Milan : Bruno Alfieri, 2007.",Italian,29 cm,416 p.,"446 b&amp;w, 40 color ills.",No,Yes,Yes,No,No,,
"Zangs, Herbe",1,"Herbert Zangs : Catalogue raisonné des oeuvres abstraites…Tome III : 1971-1980 ; fasc. 1, pt. 1 &amp; 2: 1973-1978.","Martelaere, Emmy de",,,"Paris : Editions Emmy de Martelaere, 2009.",,29 cm,240 (pt.1); 168 (pt.2),"302 (pt. 1); 143 (pt. 2) b&amp;w, some color",No,Yes,No,No,No,Provenance; Exhib. Hist; Bibliog.; Comments,"Cahier d'archives: included in the documentation section are texts by Anne Tronche, Anne Thurmann-Jales, Jean Pierre Raynaud, Sigrid Russ, Rolf Dittmar and Emmy de Martelaere.  
For a description of the critical apparatus, see early parts listed in this database."
"Zadkine, Ossip",1,Zadkine.,"Jianu, Ionel",,,"Paris : Arted, 1964",French,28 cm,207,98 b&amp;w,No,Yes,No,Yes,Yes,Exhib. Hist,"Essentially a monographic study on the artist's work, with an early catalogue of the works. 
See also the later 1994 catalogue raisonné by Sylvain Lecombre cited in this database."
